concept;items_spa;cats
Violencia por el control social;Que Carabineros use la fuerza para reprimir una manifestación pacifica.;(1) Nunca se justifica a (5) Siempre se justifica
Violencia por el control social;Que Carabineros desaloje a la fuerza a los estudiantes de un liceo en toma.;(1) Nunca se justifica a (5) Siempre se justifica
Violencia por el cambio social;Que estudiantes tiren piedras a Carabineros en una marcha por la educación del país.;(1) Nunca se justifica a (5) Siempre se justifica
Violencia por el cambio social;Personas incendien o dañen inmobiliario público;(1) Nunca se justifica a (5) Siempre se justifica
Violencia por el cambio social;Personas incendien o dañen medios de transporte;(1) Nunca se justifica a (5) Siempre se justifica
Violencia por el cambio social;Personas incendien o dañen locales comerciales;(1) Nunca se justifica a (5) Siempre se justifica
